"col0","col1","col2","col3","col4","col5","col6","col7","col8","partition_0"
"grass","plant","n","grass_n1","grass%1:20:00::","111355165","narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay","",,"auto"
"grassy","quality","adj","grassy_a1","grassy%3:00:00::","300212690","abounding in grass","",,"auto"
"gravel","mater","n","gravel_n1","gravel%1:27:00::","113858785","rock fragments and pebbles","",,"auto"
"gravitational","?","adj","gravitational_a1","gravitational%3:01:00::","302623666","of or relating to or caused by gravitation","",,"auto"
"gravity","?","n","gravity_n1","gravity%1:19:00::","110724451","(physics) the force of attraction between all masses in the universe; especially the attraction of the earth's mass for bodies near its surface; ","the more remote the body the less the gravity; the gravitation between two bodies is proportional to the product of their masses and inversely proportional to the square of the distance between them; gravitation cannot be held responsible for people falling in love--Albert Einstein",,"auto"
"great","?","adj","great_s1","great%5:00:01:large:00","301339945","relatively large in size or number or extent; larger than others of its kind; ","a great juicy steak; a great multitude; the great auk; a great old oak; a great ocean liner; a great delay",,"auto"
"greater","comp","adj","greater_a1","greater%3:00:00::","301347046","greater in size or importance or degree; ","for the greater good of the community; the greater Antilles",,"auto"
"green","color","adj","green_s1","green%5:00:00:chromatic:00","300366111","similar to the color of fresh grass; ","a green tree; green fields; green paint",,"auto"
"ground","obj","n","ground_n1","ground%1:17:00::","108750552","the solid part of the earth's surface; ","the plane turned away from the sea and moved back over land; the earth shook for several minutes; he dropped the logs on the ground",,"auto"
"groundwater","obj","","","","","","",,"auto"
"group","obj","n","group_n1","group%1:03:00::","100026769","any number of entities (members) considered as a unit","",,"auto"
"grouping","der","n","group_n1","grouping%1:03:00::","100026769","any number of entities (members) considered as a unit","",,"auto"
"grow","act","v","turn_v5","grow%2:30:03::","200121007","pass into a condition gradually, take on a specific property or attribute; become; ","The weather turned nasty; She grew angry",,"auto"
"growing","der","adj","growing_s1","growing%5:00:00:increasing:00","302446764","increasing in size or degree or amount; ","her growing popularity; growing evidence of a world depression; a growing city; growing businesses",,"auto"
"grows","der","","","","","","",,"auto"
"growth","der","n","development_n7","growth%1:22:00::","112726302","(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level; ","he proposed an indicator of osseous development in children",,"auto"
"guess","act","v","think_v2","guess%2:31:00::","200611681","expect, believe, or suppose; ","I imagine she earned a lot of money with her new novel; I thought to find her in a bad state; he didn't think to find her in the kitchen; I guess she is angry at me for standing her up",,"auto"
"guide","act","v","guide_v1","guide%2:38:01::","201875920","direct the course; determine the direction of travelling","",,"auto"
"guide","human","v","guide_v1","guide%2:38:01::","201875920","direct the course; determine the direction of travelling","",,"auto"
"guided","der","adj","guided_a1","guided%3:00:00::","301380103","subject to guidance or control especially after launching; ","a guided missile",,"auto"
"guitar","obj","n","guitar_n1","guitar%1:06:00::","103340363","a stringed instrument usually having six strings; played by strumming or plucking","",,"auto"
"guppy","fish","n","guppy_n1","guppy%1:05:00::","101372397","small freshwater fish of South America and the West Indies; often kept in aquariums","",,"auto"
"habit","loc","n","habit_n1","habit%1:09:00::","105342075","an established custom; ","it was their habit to dine at 7 every evening",,"auto"
"habitat","?","n","habitat_n1","habitat%1:15:00::","108056095","the type of environment in which an organism or group normally lives or occurs; ","a marine habitat; he felt safe on his home grounds",,"auto"
"had","der","","","","","","",,"auto"
"hail","obj","v","hail_v1","hail%2:32:02::","200833532","praise vociferously; ","The critics hailed the young pianist as a new Rubinstein",,"auto"
"hair","bpart","n","hair_n1","hair%1:08:00::","104952502","dense growth of hairs covering the body or parts of it (as on the human head); helps prevent heat loss; ","he combed his hair",,"auto"
"half","num","n","half_n1","half%1:23:00::","112962873","one of two equal parts of a divisible whole; ","half a loaf; half an hour; a century and one half",,"auto"
"hamburger","food","n","hamburger_n1","hamburger%1:13:01::","107225964","a fried cake of minced beef served on a bun","",,"auto"
"hand","bpart","n","hand_n1","hand%1:08:00::","105246212","the (prehensile) extremity of the superior limb; ","he had the hands of a surgeon; he extended his mitt",,"auto"
"handle","act","v","handle_v1","handle%2:41:00::","202363018","be in charge of, act on, or dispose of; ","I can deal with this crew of workers; This blender can't handle nuts; She managed her parents' affairs after they got too old",,"auto"
"handle","obj","v","handle_v1","handle%2:41:00::","202363018","be in charge of, act on, or dispose of; ","I can deal with this crew of workers; This blender can't handle nuts; She managed her parents' affairs after they got too old",,"auto"
"handling","der","n","handling_n1","handling%1:04:00::","100671160","manual (or mechanical) carrying or moving or delivering or working with something","",,"auto"
"handwashing","act","","","","","","",,"auto"
"hang","act","v","hang_v1","hang%2:35:03::","201440075","be suspended or hanging; ","The flag hung on the wall",,"auto"
"happens","der","","","","","","",,"auto"
"hard","quality","adj","difficult_a1","hard%3:00:06::","300714324","not easy; requiring great physical or mental effort to accomplish or comprehend or endure; ","a difficult task; nesting places on the cliffs are difficult of access; difficult times; a difficult child; found himself in a difficult situation; why is it so hard for you to keep a secret?",,"auto"
"harder","comp","","","","","","",,"auto"
"hardness","att","n","hardness_n1","hardness%1:07:01::","104686989","the property of being rigid and resistant to pressure; not easily scratched; measured on Mohs scale","",,"auto"
"hardware","obj","n","hardware_n1","hardware%1:06:02::","103365563","major items of military weaponry (as tanks or missile)","",,"auto"
"harm","act","n","injury_n1","harm%1:26:00::","113475106","any physical damage to the body caused by violence or accident or fracture etc.","",,"auto"
"harmful","quality","adj","harmful_s2","harmful%5:00:00:dangerous:00","301991125","able or likely to do harm","",,"auto"
"harvest","obj","v","reap_v1","harvest%2:35:00::","201280956","gather, as of natural products; ","harvest the grapes",,"auto"
"has","der","","","","","","",,"auto"
"hat","obj","n","hat_n1","hat%1:06:00::","103369427","headdress that protects the head from bad weather; has shaped crown and usually a brim","",,"auto"
"have","act","v","have_v1","have%2:40:00::","202139918","have or possess, either in a concrete or an abstract sense; ","She has $1,000 in the bank; He has got two beautiful daughters; She holds a Master's degree from Harvard",,"auto"
"having","der","","","","","","",,"auto"
"hawaiian","quality","","","","","","",,"auto"
"hawk","bird","v","hawk_v1","hawk%2:40:00::","202236118","sell or offer for sale from place to place","",,"auto"
"hay","obj","n","hay_n1","hay%1:13:00::","107329233","grass mowed and cured for use as fodder","",,"auto"
"heal","act","v","heal_v1","heal%2:30:00::","200261645","heal or recover; ","My broken leg is mending",,"auto"
"healing","act","n","healing_n1","healing%1:22:00::","112728585","the natural process by which the body repairs itself","",,"auto"
"health","quality","n","health_n1","health%1:26:00::","113628836","a healthy state of wellbeing free from disease; ","physicians should be held responsible for the health of their patients",,"auto"
"healthfully","adj","","","","","","",,"auto"
"healthy","quality","adj","healthy_a1","healthy%3:00:00::","301129161","having or indicating good health in body or mind; free from infirmity or disease; ","a rosy healthy baby; staying fit and healthy",,"auto"
"hear","act","v","hear_v1","hear%2:39:00::","202107444","perceive (sound) via the auditory sense","",,"auto"
"heard","der","adj","heard_s1","heard%5:00:00:detected:00","301559594","detected or perceived by the sense of hearing; ","a conversation heard through the wall",,"auto"
"hearing","sense","n","hearing_n1","hearing%1:04:01::","101133389","(law) a proceeding (usually by a court) where evidence is taken for the purpose of determining an issue of fact and reaching a decision based on that evidence","",,"auto"
"heart","bpart","n","heart_n1","heart%1:09:00::","105575397","the locus of feelings and intuitions; ","in your heart you know it is true; her story would melt your bosom",,"auto"
"heat","subst","n","heat_n1","heat%1:19:00::","110726243","a form of energy that is transferred by a difference in temperature","",,"auto"
"heath","loc","n","heath_n1","heath%1:20:00::","111478822","a low evergreen shrub of the family Ericaceae; has small bell-shaped pink or purple flowers","",,"auto"
"heavily","quality","r","heavily_r1","heavily%4:02:00::","400178741","to a considerable degree; ","he relied heavily on others' data",,"auto"
"heavy","val","adj","heavy_a1","heavy%3:00:01::","301142643","of comparatively great physical weight or density; ","a heavy load; lead is a heavy metal; heavy mahogony furniture",,"auto"
"height","att","n","height_n1","height%1:07:00::","104850078","the vertical dimension of extension; distance from the base of something to the top","",,"auto"
"heir","human","n","heir_n1","heir%1:18:00::","109513708","a person who is entitled by law or by the terms of a will to inherit the estate of another","",,"auto"
"help","act","v","help_v1","help%2:41:00::","202472355","give help or assistance; be of service; ","Everyone helped out during the earthquake; Can you help me carry this table?; She never helps around the house",,"auto"
"helped","der","","","","","","",,"auto"
"helpful","der","adj","helpful_a1","helpful%3:00:00::","301153287","providing assistance or serving a useful function","",,"auto"
"helps","der","","","","","","",,"auto"
"hemisphere","loc","n","hemisphere_n1","hemisphere%1:15:00::","108058573","half of the terrestrial globe","",,"auto"
"hen","bird","n","hen_n1","hen%1:05:01::","101712023","adult female chicken","",,"auto"
"here","loc","r","here_r1","here%4:02:00::","400109747","in or at this place; where the speaker or writer is; ","I work here; turn here; radio waves received here on Earth",,"auto"
"hereditary","?","adj","genetic_s1","hereditary%5:00:01:inheritable:00","301266042","tending to occur among members of a family usually by heredity; ","an inherited disease; familial traits; genetically transmitted features",,"auto"
"hibernate","act","v","hibernate_v1","hibernate%2:29:00::","200015633","sleep during winter; ","Bears must eat a lot of food before they hibernate in their caves",,"auto"
"hibernating","der","","","","","","",,"auto"
"hibernation","nom","n","hibernation_n1","hibernation%1:26:00::","113215913","the torpid or resting state in which some animals pass the winter","",,"auto"
"hide","act","v","hide_v1","hide%2:39:00::","202082942","prevent from being seen or discovered; ","Muslim women hide their faces; hide the money",,"auto"
"high","?","adj","high_a1","high%3:00:02::","301166932","greater than normal in degree or intensity or amount; ","a high temperature; a high price; the high point of his career; high risks; has high hopes; the river is high; he has a high opinion of himself",,"auto"
"hill","loc","n","hill_n1","hill%1:17:00::","108722173","a local and well-defined elevation of the land","",,"auto"
"hinder","act","v","hinder_v1","hinder%2:41:01::","202377880","be a hindrance or obstacle to; ","She is impeding the progress of our project",,"auto"
"historical","?","adj","historical_a1","historical%3:01:00::","302779376","of or relating to the study of history; ","historical scholars; a historical perspective",,"auto"
"hit","act","v","hit_v1","hit%2:35:03::","201364506","cause to move by striking; ","hit a ball",,"auto"
"hold","act","v","hold_v1","hold%2:36:00::","201684337","organize or be responsible for; ","hold a reception; have, throw, or make a party; give a course",,"auto"
"home","loc","n","home_n1","home%1:15:04::","108037383","where you live at a particular time; ","deliver the package to my home; he doesn't have a home to go to; your place or mine?",,"auto"
"hoof","bpart","n","hoof_n1","hoof%1:05:00::","102069611","the foot of an ungulate mammal","",,"auto"
"hoped","der","","","","","","",,"auto"
"horizontal","quality","adj","horizontal_a1","horizontal%3:00:00::","301189086","parallel to or in the plane of the horizon or a base line; ","a horizontal surface",,"auto"
"horse","animal","n","horse_n1","horse%1:05:00::","102288217","solid-hoofed herbivorous quadruped domesticated since prehistoric times","",,"auto"
"hot","temp","adj","hot_a1","hot%3:00:01::","301203484","used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning; ","hot stove; hot water; a hot August day; a hot stuffy room; she's hot and tired; a hot forehead",,"auto"
"hour","time","n","hour_n1","hour%1:28:00::","114366717","a period of time equal to 1/24th of a day; ","the job will take more than an hour",,"auto"
"house","obj","n","house_n1","house%1:06:00::","103413667","a dwelling that serves as living quarters for one or more families; ","he has a house on Cape Cod; she felt she had to get out of the house",,"auto"
"however","?","r","however_r1","however%4:02:00::","400027890","despite anything to the contrary (usually following a concession); ","although I'm a little afraid, however I'd like to try it; while we disliked each other, nevertheless we agreed; he was a stern yet fair master; granted that it is dangerous, all the same I still want to go",,"auto"
"human","human","adj","human_a1","human%3:01:00::","302628740","characteristic of humanity; ","human nature",,"auto"
"humidity","weath","n","humidity_n1","humidity%1:26:00::","113706785","wetness in the atmosphere","",,"auto"
"hundred","num","adj","100_s1","hundred%5:00:00:cardinal:00","302120926","being ten more than ninety","",,"auto"
"hunt","act","v","hunt_v1","hunt%2:33:00::","201108575","pursue for food or sport (as of wild animals); ","Goering often hunted wild boars in Poland; The dogs are running deer; The Duke hunted in these woods",,"auto"
"hunting","der","n","hunting_n1","hunting%1:04:01::","100428522","the pursuit and killing or capture of wild animals regarded as a sport","",,"auto"
"hunts","der","","","","","","",,"auto"
"hurricane","obj","n","hurricane_n1","hurricane%1:19:00::","110727195","a severe tropical cyclone usually with heavy rains and winds moving a 73-136 knots (12 on the Beaufort scale)","",,"auto"
"hypothesis","abs","n","hypothesis_n1","hypothesis%1:10:00::","106720745","a proposal intended to explain certain facts or observations","",,"auto"
"ice","obj","n","ice_n1","ice%1:27:00::","114066911","water frozen in the solid state; ","Americans like ice in their drinks",,"auto"
"idea","obj","n","idea_n1","idea%1:09:00::","105496568","the content of cognition; the main thing you are thinking about; ","it was not a good idea; the thought never entered my mind",,"auto"
"identical","quality","adj","identical_s1","identical%5:00:00:same:00","301995037","exactly alike; incapable of being perceived as different; ","rows of identical houses; cars identical except for their license plates; they wore indistinguishable hats",,"auto"
"identify","act","v","identify_v1","identify%2:31:00::","200598581","recognize as being; establish the identity of someone or something; ","She identified the man on the 'wanted' poster",,"auto"
"identifying","der","","","","","","",,"auto"
"illegal","quality","adj","illegal_a1","illegal%3:00:00::","301353684","prohibited by law or by official or accepted rules; ","an illegal chess move",,"auto"
"illicit","quality","adj","illicit_a1","illicit%3:00:00::","301499167","contrary to accepted morality (especially sexual morality) or convention; ","an illicit association with his secretary",,"auto"
"illness","ill","n","illness_n1","illness%1:26:00::","113259915","impairment of normal physiological function affecting part or all of an organism","",,"auto"
"illustrate","act","v","illustrate_v1","illustrate%2:32:00::","200988181","clarify by giving an example of","",,"auto"
"image","obj","n","image_n1","image%1:09:00::","105583497","an iconic mental representation; ","her imagination forced images upon her too awful to contemplate",,"auto"
"imaginary","quality","adj","imaginary_s1","imaginary%5:00:00:unreal:00","301875258","not based on fact; dubious; ","the falsehood about some fanciful secret treaties- F.D.Roosevelt; a small child's imaginary friends; her imagined fame; to create a notional world for oneself",,"auto"
"imagine","act","v","imagine_v1","imagine%2:36:00::","201590121","form a mental image of something that is not present or that is not the case; ","Can you conceive of him as the president?",,"auto"
"immediately","adv","r","immediately_r1","immediately%4:02:00::","400049968","without delay or hesitation; with no time intervening; ","he answered immediately; found an answer straightaway; an official accused of dishonesty should be suspended forthwith; Come here now!",,"auto"
"immense","size","adj","vast_s1","immense%5:00:01:large:00","301340193","unusually great in size or amount or degree or especially extent or scope; ","huge government spending; huge country estates; huge popular demand for higher education; a huge wave; the Los Angeles aqueduct winds like an immense snake along the base of the mountains; immense numbers of birds; at vast (or immense) expense; the vast reaches of outer space; the vast accumulation of knowledge...which we call civilization- W.R.Inge",,"auto"
"impact","?","n","impact_n1","impact%1:11:00::","106888434","the striking of one body against another","",,"auto"
"implement","tool","v","implement_v1","implement%2:41:01::","202336337","apply in a manner consistent with its purpose or design; ","implement a procedure",,"auto"
"import","act","v","import_v1","import%2:40:00::","202278526","bring in from abroad","",,"auto"
"import","obj","v","import_v1","import%2:40:00::","202278526","bring in from abroad","",,"auto"
"important","quality","adj","important_a1","important%3:00:00::","301229417","of great significance or value; ","important people; the important questions of the day",,"auto"
"improve","act","v","improve_v1","improve%2:30:01::","200198579","to make better; ","The editor improved the manuscript with his changes",,"auto"
"improved","der","adj","improved_a1","improved%3:00:00::","301241214","made more desirable or valuable or profitable; especially made ready for use or marketing; ","new houses are springing up on an improved tract of land near the river; an improved breed",,"auto"
"improvement","nom","n","improvement_n1","improvement%1:04:00::","100236806","the act of improving something; ","their improvements increased the value of the property",,"auto"
"in","prep","r","in_r1","in%4:02:01::","400509592","to or toward the inside of; ","come in; smash in the door",,"auto"
"inactive","state","adj","inactive_s1","inactive%5:00:00:unreactive:00","301869135","not participating in a chemical reaction; ","desired amounts of inactive chlorine",,"auto"
"inch","uofm","n","inch_n1","inch%1:23:00::","112878615","a unit of length equal to one twelfth of a foot","",,"auto"
"inclined","quality","adj","bowed_s1","inclined%5:00:00:unerect:00","301194401","used especially of the head or upper back; ","a bent head and sloping shoulders",,"auto"
"include","act","v","include_v1","include%2:42:00::","202554437","have as a part, be made up out of; ","The list includes the names of many famous writers",,"auto"
"inclusive","?","adj","inclusive_a1","inclusive%3:00:00::","301802277","including much or everything; and especially including stated limits; ","an inclusive art form; an inclusive fee; his concept of history is modern and inclusive; from Monday to Friday inclusive",,"auto"
"incorporate","act","v","integrate_v1","incorporate%2:30:00::","200453592","make into a whole or make part of a whole; ","She incorporated his suggestions into her proposal",,"auto"
"incorporated","der","adj","unified_s1","incorporated%5:00:00:united:00","302389787","formed or united into a whole","",,"auto"
"increase","act","v","increase_v1","increase%2:30:00::","200150804","become bigger or greater in amount; ","The amount of work increased",,"auto"
"increased","der","adj","increased_a1","increased%3:00:00::","300842925","made greater in size or amount or degree","",,"auto"
"increases","der","","","","","","",,"auto"
"increasingly","adv","r","increasingly_r1","increasingly%4:02:00::","400060887","advancing in amount or intensity; ","she became increasingly depressed",,"auto"
"indicate","act","v","indicate_v1","indicate%2:32:01::","200891089","be a signal for or a symptom of; ","These symptoms indicate a serious illness; Her behavior points to a severe neurosis; The economic indicators signal that the euro is undervalued",,"auto"
"indicated","der","","","","","","",,"auto"
"indicating","der","","","","","","",,"auto"
"indication","nom","n","indication_n1","indication%1:10:00::","106379383","something that serves to indicate or suggest; ","an indication of foul play; indications of strain; symptoms are the prime indicants of disease",,"auto"
"indicator","obj","n","indicator_n1","indicator%1:10:00::","106230398","a number or ratio (a value on a scale of measurement) derived from a series of observed facts; can reveal relative changes as a function of time","",,"auto"
"individual","human","n","person_n1","individual%1:03:00::","100006026","a human being; ","there was too much for one person to do",,"auto"
"individually","?","r","individually_r1","individually%4:02:00::","400210571","apart from others; ","taken individually, the rooms were, in fact, square; the fine points are treated singly",,"auto"
"inductive","quality","adj","inductive_a1","inductive%3:01:01::","302633091","relating to logical induction; ","inductive thinking",,"auto"
"infect","act","v","infect_v1","infect%2:29:01::","200087224","communicate a disease to; ","Your children have infected you with this head cold",,"auto"
"infection","ill","n","infection_n1","infection%1:26:00::","113368233","the pathological state resulting from the invasion of the body by pathogenic microorganisms","",,"auto"
"infection","nom","n","infection_n1","infection%1:26:00::","113368233","the pathological state resulting from the invasion of the body by pathogenic microorganisms","",,"auto"
"inference","abs","n","inference_n1","inference%1:09:00::","105441142","the reasoning involved in drawing a conclusion or making a logical judgment on the basis of circumstantial evidence and prior conclusions rather than on the basis of direct observation","",,"auto"
"inferring","der","","","","","","",,"auto"
"influence","act","n","influence_n1","influence%1:07:00::","104899484","a power to affect persons or events especially power based on prestige etc; ","used her parents' influence to get the job",,"auto"
"influenced","state","","","","","","",,"auto"
"information","abs","n","information_n1","information%1:10:00::","106225142","a message received and understood","",,"auto"
"informed","state","adj","informed_a1","informed%3:00:00::","301258580","having much knowledge or education; ","an informed public; informed opinion; the informed customer",,"auto"
"ingenuity","abs","n","cleverness_n1","ingenuity%1:09:01::","105311282","the power of creative imagination","",,"auto"
"ingestion","nom","n","uptake_n1","ingestion%1:04:00::","100787454","the process of taking food into the body through the mouth (as by eating)","",,"auto"
"inhale","act","v","inhale_v1","inhale%2:34:00::","201162463","draw deep into the lungs in by breathing; ","Clinton smoked marijuana but never inhaled",,"auto"
"inherit","act","v","inherit_v1","inherit%2:40:00::","202248378","obtain from someone after their death; ","I inherited a castle from my French grandparents",,"auto"
"inheritance","nom","n","inheritance_n1","inheritance%1:04:00::","100077160","hereditary succession to a title or an office or property","",,"auto"
"inherited","state","adj","genetic_s1","inherited%5:00:00:inheritable:00","301266042","tending to occur among members of a family usually by heredity; ","an inherited disease; familial traits; genetically transmitted features",,"auto"
"initial","?","adj","initial_s1","initial%5:00:00:first:00","300967795","occurring at the beginning; ","took the initial step toward reconciliation",,"auto"
"initiate","act","v","start_v5","initiate%2:36:01::","201582273","bring into being; ","He initiated a new program; Start a foundation",,"auto"
"injure","act","v","injure_v1","injure%2:29:00::","200067690","cause injuries or bodily harm to","",,"auto"
"inquiry","abs","n","research_n2","inquiry%1:09:01::","105462626","a search for knowledge; ","their pottery deserves more research than it has received",,"auto"
"insect","insect","n","insect_n1","insect%1:05:00::","102075325","small air-breathing arthropod","",,"auto"
"insert","act","v","insert_v1","insert%2:35:00::","201380907","put or introduce into something; ","insert a picture into the text",,"auto"
"inside","prep","r","inside_r1","inside%4:02:00::","400112401","within a building; ","in winter we play inside",,"auto"
"insight","abs","n","insight_n1","insight%1:09:02::","105379644","clear or deep perception of a situation","",,"auto"
"instead","adv","r","instead_r1","instead%4:02:00::","400063870","in place of, or as an alternative to; ","Felix became a herpetologist instead; alternatively we could buy a used car",,"auto"
"instruction","nom","n","instruction_n1","instruction%1:10:04::","106369463","a message describing how something is to be done; ","he gave directions faster than she could follow them",,"auto"
"instructor","human","n","teacher_n1","instructor%1:18:00::","109997151","a person whose occupation is teaching","",,"auto"
"instrument","tool","n","instrument_n1","instrument%1:06:00::","103443087","a device that requires skill for proper use","",,"auto"
"intended","state","adj","intended_a1","intended%3:00:00::","301291331","intentional or planned; ","your intended trip abroud; an intended insult",,"auto"
"interact","act","v","interact_v1","interact%2:41:00::","202305904","act together or towards others or with others; ","He should interact more with his colleagues",,"auto"
"interaction","nom","n","interaction_n1","interaction%1:04:00::","100034333","a mutual or reciprocal action; interacting","",,"auto"
"interconnect","act","v","interconnect_v1","interconnect%2:42:00::","202544790","be interwoven or interconnected; ","The bones are interconnected via the muscle",,"auto"
"interconnected","state","adj","interrelated_s1","interconnected%5:00:00:reticulate:00","301943788","reciprocally connected","",,"auto"
"interconnectedness","quality","n","interconnectedness_n1","interconnectedness%1:26:00::","113603772","a state of being connected reciprocally; ","an interconnection between the two buildings",,"auto"
"interdisciplinary","quality","adj","interdisciplinary_a1","interdisciplinary%3:01:00::","302901370","drawing from or characterized by participation of two or more fields of study; ","interdisciplinary studies; an interdisciplinary conference",,"auto"
"intermediate","quality","adj","intermediate_a1","intermediate%3:00:00::","300971027","lying between two extremes in time or space or degree; ","going from sitting to standing without intermediate pushes with the hands; intermediate stages in a process; intermediate stops on the route; an intermediate level",,"auto"
"interpersonal","quality","adj","interpersonal_s1","interpersonal%5:00:00:social:00","302169447","occurring among or involving several people; ","interpersonal situations in which speech occurs",,"auto"
"interpret","act","v","interpret_v1","interpret%2:31:00::","200603028","make sense of; assign a meaning to; ","What message do you see in this letter?; How do you interpret his behavior?",,"auto"
"interpretation","nom","n","interpretation_n1","interpretation%1:09:01::","105583892","a mental representation of the meaning or significance of something","",,"auto"
"interpreting","der","n","rendering_n2","interpreting%1:09:00::","105433093","an explanation of something that is not immediately obvious; ","the edict was subject to many interpretations; he annoyed us with his interpreting of parables; often imitations are extended to provide a more accurate rendition of the child's intended meaning",,"auto"
"interrelate","?","v","relate_v4","interrelate%2:42:00::","202644324","be in a relationship with; ","How are these two observations related?",,"auto"
"intestine","bpart","n","gut_n1","intestine%1:08:00::","105217567","the part of the alimentary canal between the stomach and the anus","",,"auto"
"into","prep","","","","","","",,"auto"
"intro","abs","n","introduction_n3","intro%1:10:00::","106774037","formally making a person known to another or to the public","",,"auto"
"invented","state","adj","fictional_s2","invented%5:00:00:unreal:00","301874744","formed or conceived by the imagination; ","a fabricated excuse for his absence; a fancied wrong; a fictional character; used fictitious names; a made-up story",,"auto"
"investigate","act","v","investigate_v1","investigate%2:32:00::","200763144","investigate scientifically; ","Let's investigate the syntax of Chinese",,"auto"
"investigating","der","n","investigation_n2","investigating%1:04:00::","100598213","the work of inquiring into something thoroughly and systematically","",,"auto"
"investigation","nom","n","investigation_n1","investigation%1:09:00::","105465622","an inquiry into unfamiliar or questionable activities; ","there was a congressional probe into the scandal",,"auto"
"involve","act","v","involve_v1","involve%2:42:01::","202596340","connect closely and often incriminatingly; ","This new ruling affects your business",,"auto"
"involving","der","","","","","","",,"auto"
"iron","mater","n","iron_n1","iron%1:27:00::","113804168","a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood","",,"auto"
"island","loc","n","island_n1","island%1:17:00::","108734830","a land mass (smaller than a continent) that is surrounded by water","",,"auto"
"issue","abs","n","issue_n1","issue%1:09:01::","105478649","an important question that is in dispute and must be settled; ","the issue could be settled by requiring public education for everyone; politicians never discuss the real issues",,"auto"
"item","obj","n","item_n1","item%1:10:00::","106081786","a distinct part that can be specified separately in a group of things that could be enumerated on a list; ","he noticed an item in the New York Times; she had several items on her shopping list; the main point on the agenda was taken up first",,"auto"
"iterative","?","adj","repetitious_s1","iterative%5:00:00:unvaried:00","302419606","marked by tedious repetition","",,"auto"
"jaw","bpart","n","jaw_n1","jaw%1:08:00::","105228931","the part of the skull of a vertebrate that frames the mouth and holds the teeth","",,"auto"
"job","?","n","job_n1","job%1:04:00::","100553013","the principal activity in your life that you do to earn money; ","he's not in my line of business",,"auto"
"join","act","v","join_v1","join%2:41:00::","202361668","become part of; become a member of a group or organization; ","He joined the Communist Party as a young man",,"auto"
"journal","obj","n","diary_n1","journal%1:10:01::","106004789","a daily written record of (usually personal) experiences and observations","",,"auto"
"judgment","abs","n","judgment_n1","judgment%1:09:04::","105500542","an opinion formed by judging something; ","he was reluctant to make his judgment known; she changed her mind",,"auto"
"jump","act","v","leap_v1","jump%2:38:00::","201906445","move forward by leaps and bounds; ","The horse bounded across the meadow; The child leapt across the puddle; Can you jump over the fence?",,"auto"
"june","?","","","","","","",,"auto"
"just","?","r","just_r1","just%4:02:00::","400004331","and nothing more; ","I was merely asking; it is simply a matter of time; just a scratch; he was only a child; hopes that last but a moment",,"auto"
"justifiable","quality","adj","justifiable_s1","justifiable%5:00:00:excusable:00","301668535","capable of being justified","",,"auto"
"keep","act","v","hold_v2","keep%2:42:00::","202600965","keep in a certain state, position, or activity; e.g.,","keep clean; hold in place; She always held herself as a lady; The students keep me on my toes",,"auto"
"keeping","der","n","keeping_n1","keeping%1:04:01::","101138127","conformity or harmony; ","his behavior was not in keeping with the occasion",,"auto"
"keeps","der","","","","","","",,"auto"
"kettle","obj","n","kettle_n1","kettle%1:06:00::","103479303","a metal pot for stewing or boiling; usually has a lid","",,"auto"
"key","obj","n","key_n1","key%1:06:00::","103479675","metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated","",,"auto"
"kidney","bpart","n","kidney_n1","kidney%1:08:00::","105025737","either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine; urine passes out of the kidney through ureters to the bladder","",,"auto"
"kilogram","uofm","n","kilogram_n1","kilogram%1:23:00::","112951327","one thousand grams; the basic unit of mass adopted under the Systeme International d'Unites; ","a kilogram is approximately 2.2 pounds",,"auto"
"kind","abs","n","kind_n1","kind%1:09:00::","105501538","a category of things distinguished by some common characteristic or quality; ","sculpture is a form of art; what kinds of desserts are there?",,"auto"
"kinetic","quality","adj","kinetic_a1","kinetic%3:01:00::","302757042","relating to the motion of material bodies and the forces associated therewith; ","kinetic energy",,"auto"
"kitten","animal","n","kitten_n1","kitten%1:05:00::","102038912","young domestic cat","",,"auto"
"kiwi","food","n","kiwi_n1","kiwi%1:20:00::","111623214","climbing vine native to China; cultivated in New Zealand for its fuzzy edible fruit with green meat","",,"auto"
"kiwi","plant","n","kiwi_n1","kiwi%1:20:00::","111623214","climbing vine native to China; cultivated in New Zealand for its fuzzy edible fruit with green meat","",,"auto"
"knob","obj","n","knob_n1","knob%1:06:01::","103491305","a circular rounded projection or protuberance","",,"auto"
"know","?","v","know_v1","know%2:31:01::","200575656","be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about; ","I know that the President lied to the people; I want to know who is winning the game!; I know it's time",,"auto"
"knowledge","abs","n","knowledge_n1","knowledge%1:03:00::","100020729","the psychological result of perception and learning and reasoning","",,"auto"
"label","act","v","label_v1","label%2:32:00::","200996581","assign a label to; designate with a label; ","These students were labelled `learning disabled'",,"auto"
"laboratory","loc","n","laboratory_n1","laboratory%1:06:00::","103495095","a workplace for the conduct of scientific research","",,"auto"
